Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Purpose,Risk
40,30.0,male,3,own,quite rich,little,2333,radio/TV,good
41,26.0,male,2,own,quite rich,moderate,1158,radio/TV,good
42,44.0,male,1,own,little,moderate,6204,repairs,good
43,24.0,male,2,rent,moderate,little,6187,car,good
44,58.0,female,1,free,little,little,6143,car,bad
45,35.0,female,3,own,little,little,1393,car,good
46,39.0,male,2,own,quite rich,little,2299,radio/TV,good
47,23.0,female,0,rent,quite rich,little,1352,car,good
48,39.0,male,1,own,little,little,7228,car,good
49,28.0,female,2,own,moderate,little,2073,radio/TV,good
50,29.0,male,1,own,little,moderate,2333,furniture/equipment,good
51,30.0,male,3,own,little,moderate,5965,car,good
52,25.0,male,2,own,little,little,1262,radio/TV,good
53,31.0,male,2,own,little,little,3378,car,good
54,57.0,male,2,free,little,moderate,2225,car,bad
55,26.0,male,1,own,little,little,783,car,good
56,52.0,male,3,own,little,moderate,6468,radio/TV,bad
57,31.0,female,2,own,little,little,9566,radio/TV,good
58,23.0,female,3,own,little,rich,1961,car,good
59,23.0,female,1,rent,little,little,6229,furniture/equipment,bad
60,27.0,male,2,own,little,moderate,1391,business,good
61,50.0,male,2,own,little,moderate,1537,radio/TV,good
62,61.0,male,3,free,little,moderate,1953,business,bad
63,25.0,male,2,own,little,moderate,14421,business,bad
64,26.0,female,2,own,little,little,3181,radio/TV,good
65,48.0,male,2,own,little,little,5190,repairs,good
66,29.0,female,2,own,little,little,2171,radio/TV,good
67,22.0,male,2,own,rich,moderate,1007,car,good
68,37.0,male,2,free,little,little,1819,education,bad
69,25.0,female,2,own,little,little,2394,radio/TV,good
70,30.0,female,2,own,little,little,8133,car,good
71,46.0,male,1,rent,little,little,730,radio/TV,good
72,51.0,male,3,free,little,little,1164,vacation/others,good
73,41.0,female,1,own,little,moderate,5954,business,good
74,40.0,male,3,own,little,little,1977,education,bad
75,66.0,male,3,free,little,little,1526,car,good
76,34.0,male,2,own,little,little,3965,radio/TV,bad
77,51.0,male,2,own,little,moderate,4771,radio/TV,good
78,39.0,male,1,own,little,little,9436,car,good
79,22.0,male,2,own,little,moderate,3832,furniture/equipment,good
80,44.0,female,2,own,little,little,5943,radio/TV,bad
81,47.0,male,2,own,quite rich,little,1213,radio/TV,good
82,24.0,female,1,rent,moderate,little,1568,business,good
83,58.0,female,1,own,little,little,1755,vacation/others,good
84,52.0,male,1,own,little,little,2315,radio/TV,good
85,29.0,female,3,own,little,little,1412,business,good
86,27.0,female,2,own,little,moderate,1295,furniture/equipment,good
87,47.0,male,2,free,moderate,moderate,12612,education,bad
88,30.0,male,3,own,moderate,little,2249,car,good
89,35.56068204613842,male,2,own,little,little,1108,repairs,bad
90,56.0,male,2,own,little,little,618,radio/TV,good
91,54.0,male,2,own,little,little,1409,car,good
92,33.0,female,1,own,little,little,797,radio/TV,bad
93,20.0,male,2,rent,little,rich,3617,furniture/equipment,good
94,54.0,male,2,own,rich,moderate,1318,car,good
95,58.0,male,2,rent,little,moderate,15945,business,bad
96,61.0,female,2,own,little,little,2012,education,good
97,34.0,male,2,own,moderate,moderate,2622,business,good
98,36.0,male,2,own,little,moderate,2337,radio/TV,good
99,36.0,male,3,rent,little,moderate,7057,car,good
100,41.0,male,1,rent,moderate,little,1469,car,good
101,24.0,male,2,rent,little,moderate,2323,radio/TV,good
102,24.0,female,2,own,little,little,932,radio/TV,good
103,35.0,male,2,rent,little,moderate,1919,furniture/equipment,good
104,26.0,male,2,rent,little,little,2445,car,good
105,39.0,male,3,own,little,moderate,11938,vacation/others,bad
106,39.0,male,3,own,little,little,6458,car,bad
107,32.0,male,2,own,little,moderate,6078,car,good
108,30.0,female,2,own,little,little,7721,furniture/equipment,good
109,35.0,male,2,own,quite rich,moderate,1410,business,good
110,31.0,male,2,own,moderate,moderate,1449,business,good
111,23.0,female,2,rent,little,rich,392,education,good
112,28.0,male,1,rent,little,moderate,6260,car,good
113,25.0,female,2,own,little,little,7855,car,bad
114,35.0,male,2,own,quite rich,little,1680,radio/TV,good
115,47.0,male,2,own,little,little,3578,radio/TV,good
116,30.0,female,3,own,little,little,7174,radio/TV,bad
117,27.0,female,2,rent,little,little,2132,furniture/equipment,good
118,23.0,female,2,own,quite rich,little,4281,furniture/equipment,bad
119,36.0,male,3,own,quite rich,moderate,2366,car,good
120,25.0,female,2,own,little,little,1835,radio/TV,bad
121,41.0,female,3,rent,little,little,3868,car,good
122,24.0,male,1,rent,little,little,1768,furniture/equipment,good
123,63.0,male,2,free,little,rich,781,car,good
124,27.0,female,2,rent,little,moderate,1924,furniture/equipment,bad
125,30.0,male,2,own,little,little,2121,car,good
126,40.0,male,1,own,little,little,701,radio/TV,good
127,30.0,male,2,own,little,moderate,639,repairs,bad
128,34.0,male,3,own,little,moderate,1860,car,good
129,29.0,female,2,own,little,little,3499,car,bad
130,24.0,female,2,own,little,moderate,8487,car,good
131,29.0,male,2,own,little,little,6887,education,bad
132,27.0,male,1,own,little,little,2708,furniture/equipment,good
133,47.0,male,2,free,little,little,1984,furniture/equipment,good
134,21.0,female,2,own,moderate,little,10144,radio/TV,good
135,38.0,female,2,own,little,little,1240,radio/TV,good
136,27.0,male,2,own,rich,little,8613,car,good
137,66.0,male,1,own,quite rich,moderate,766,radio/TV,bad
138,35.0,male,2,own,little,moderate,2728,radio/TV,good
139,44.0,female,1,rent,little,rich,1881,radio/TV,good
140,27.0,male,0,own,rich,rich,709,car,good
141,30.0,female,3,own,little,moderate,4795,radio/TV,good
142,27.0,male,3,own,little,little,3416,radio/TV,good
143,22.0,male,2,own,little,little,2462,furniture/equipment,bad
144,23.0,female,2,own,little,little,2288,furniture/equipment,good
145,30.0,male,2,own,moderate,moderate,3566,business,good
146,39.0,female,2,own,little,little,860,car,good
147,51.0,female,2,own,moderate,little,682,car,good
148,28.0,male,2,own,little,little,5371,furniture/equipment,good
149,46.0,male,2,own,rich,little,1582,radio/TV,good
150,42.0,male,2,free,moderate,little,1346,radio/TV,good
151,38.0,male,2,own,little,little,1924,radio/TV,good
152,24.0,male,2,own,little,rich,5848,radio/TV,good
153,29.0,female,2,rent,rich,moderate,7758,car,good
154,36.0,male,3,rent,moderate,moderate,6967,business,good
155,20.0,female,2,rent,little,little,1282,furniture/equipment,bad
156,48.0,male,2,own,moderate,little,1288,repairs,good
157,45.0,male,1,own,little,little,339,education,good
158,38.0,male,2,own,moderate,moderate,3512,car,good
159,34.0,male,1,own,little,little,1898,radio/TV,good
160,36.0,male,2,own,moderate,little,2872,radio/TV,good
161,30.0,female,2,own,little,little,1055,car,good
162,36.0,male,2,own,quite rich,little,1262,domestic appliances,good
163,70.0,male,3,free,little,moderate,7308,car,good
164,36.0,male,2,own,quite rich,little,909,car,good
165,32.0,male,2,own,quite rich,little,2978,furniture/equipment,good
166,33.0,female,2,own,little,little,1131,furniture/equipment,bad
167,20.0,female,2,own,rich,moderate,1577,furniture/equipment,good
168,25.0,female,2,rent,little,little,3972,furniture/equipment,good
169,31.0,male,2,own,little,moderate,1935,business,bad
170,33.0,male,2,rent,little,little,950,car,bad
171,26.0,female,2,own,little,little,763,furniture/equipment,good
172,34.0,female,3,own,little,moderate,2064,furniture/equipment,bad
173,33.0,male,2,own,little,moderate,1414,radio/TV,good
174,26.0,male,2,own,little,little,3414,education,bad
175,53.0,female,3,own,little,little,7485,car,bad
176,42.0,male,2,own,little,little,2577,furniture/equipment,good
177,52.0,male,2,own,quite rich,little,338,radio/TV,good
178,31.0,male,3,rent,little,little,1963,radio/TV,good
179,65.0,male,2,own,little,little,571,car,good
180,28.0,male,2,own,little,little,9572,business,bad
181,30.0,male,3,own,little,moderate,4455,business,bad
182,40.0,male,1,own,little,little,1647,car,bad
183,50.0,male,2,own,rich,little,3777,furniture/equipment,good
184,36.0,male,2,own,little,moderate,884,car,bad
185,31.0,male,2,own,little,little,1360,radio/TV,good
186,74.0,female,3,free,little,moderate,5129,car,bad
187,68.0,male,0,free,little,moderate,1175,car,good
188,20.0,male,2,own,moderate,little,674,radio/TV,bad
189,33.0,female,2,own,little,moderate,3244,furniture/equipment,good
190,54.0,male,3,own,rich,little,4591,business,bad
191,34.0,male,1,free,moderate,moderate,3844,business,bad
192,36.0,male,2,own,little,moderate,3915,business,bad
193,29.0,male,2,rent,little,little,2108,radio/TV,good
194,21.0,male,2,rent,moderate,moderate,3031,radio/TV,bad
195,34.0,female,3,own,little,moderate,1501,education,bad
196,28.0,female,2,own,little,little,1382,radio/TV,good
197,27.0,female,2,rent,moderate,moderate,951,furniture/equipment,bad
198,36.0,male,2,free,little,moderate,2760,car,good
199,40.0,male,3,own,little,moderate,4297,furniture/equipment,bad
200,52.0,male,2,own,quite rich,little,936,education,good
201,27.0,male,1,own,little,little,1168,car,good
202,26.0,male,2,own,little,little,5117,business,good
203,21.0,male,2,rent,little,little,902,education,bad
204,38.0,male,1,own,little,little,1495,car,good
205,38.0,male,3,free,little,little,10623,car,good
206,43.0,male,2,own,little,little,1935,furniture/equipment,good
207,26.0,male,2,own,little,moderate,1424,domestic appliances,good
208,21.0,male,1,own,little,little,6568,business,good
209,55.0,male,2,own,rich,little,1413,car,good
210,33.0,male,2,own,little,little,3074,radio/TV,good
211,45.0,female,1,own,little,little,3835,radio/TV,good
212,50.0,male,2,own,little,little,5293,business,bad
213,66.0,male,3,own,little,rich,1908,business,bad
214,51.0,male,2,own,little,little,3342,radio/TV,good
215,39.0,female,1,own,little,moderate,932,education,good
216,31.0,male,2,own,little,little,3104,business,good
217,23.0,male,2,own,little,rich,3913,radio/TV,good
218,24.0,male,1,rent,little,little,3021,furniture/equipment,good
219,64.0,female,2,own,little,little,1364,car,good
220,26.0,male,1,own,little,moderate,625,radio/TV,good
221,23.0,female,2,rent,little,little,1200,education,good
222,30.0,male,2,own,little,little,707,radio/TV,good
223,32.0,male,2,own,little,little,2978,business,good
224,30.0,male,2,own,little,little,4657,car,good
225,27.0,male,2,own,little,little,2613,repairs,good
226,27.0,male,2,own,rich,moderate,10961,radio/TV,bad
227,53.0,male,3,free,little,little,7865,furniture/equipment,bad
228,22.0,male,2,own,little,little,1478,radio/TV,bad
229,22.0,male,2,free,little,little,3149,furniture/equipment,good
230,26.0,male,2,own,little,rich,4210,radio/TV,bad
231,51.0,male,1,free,quite rich,little,2507,car,good
232,35.0,male,2,own,moderate,little,2141,radio/TV,good
233,25.0,male,1,own,little,moderate,866,radio/TV,good
234,42.0,male,1,own,little,little,1544,radio/TV,good
235,30.0,male,3,own,little,little,1823,radio/TV,bad
236,23.0,male,0,own,little,moderate,14555,car,bad
237,61.0,male,1,rent,moderate,moderate,2767,business,bad
238,35.0,female,2,own,little,little,1291,radio/TV,good
239,39.0,male,2,own,little,little,2522,radio/TV,good
240,29.0,female,2,own,little,little,915,car,bad
241,51.0,male,2,own,little,little,1595,radio/TV,good
242,24.0,male,2,free,little,little,4605,car,bad
243,27.0,female,2,own,little,little,1185,business,good
244,35.0,female,1,own,quite rich,little,3447,education,good
245,25.0,male,2,own,little,little,1258,business,good
246,52.0,male,2,own,little,little,717,radio/TV,good
247,35.0,male,2,rent,moderate,little,1204,car,good
248,26.0,male,2,own,little,rich,1925,furniture/equipment,good
249,22.0,female,2,rent,little,little,433,radio/TV,bad
250,39.0,female,1,own,rich,little,666,car,good
251,46.0,female,1,own,little,rich,2251,furniture/equipment,good
252,24.0,female,2,own,little,moderate,2150,car,bad
253,35.0,male,2,own,moderate,little,4151,furniture/equipment,good
254,24.0,male,2,own,little,moderate,2030,furniture/equipment,good
255,27.0,male,1,own,little,moderate,7418,radio/TV,good
256,35.0,male,1,own,little,little,2684,radio/TV,good
257,29.0,male,2,free,little,little,2149,radio/TV,bad
258,23.0,female,2,own,moderate,little,3812,car,good
259,57.0,female,1,own,moderate,little,1154,radio/TV,good
260,27.0,male,2,own,little,little,1657,furniture/equipment,good
261,55.0,female,2,own,little,little,1603,radio/TV,good
262,36.0,male,3,free,little,little,5302,car,good
263,57.0,female,1,free,little,little,2748,education,good
264,32.0,male,1,own,little,little,1231,car,good
265,37.0,male,2,own,little,moderate,802,radio/TV,bad
266,36.0,male,2,own,little,little,6304,business,good
267,38.0,female,2,own,little,little,1533,radio/TV,good
268,45.0,male,3,own,little,little,8978,car,bad
269,25.0,male,2,own,little,little,999,radio/TV,good
270,32.0,male,2,own,little,little,2662,car,good
271,37.0,female,2,rent,quite rich,little,1402,furniture/equipment,good
272,36.0,male,3,free,little,moderate,12169,car,good
273,28.0,male,2,own,little,moderate,3060,radio/TV,bad
274,34.0,male,1,own,little,little,11998,repairs,bad
275,32.0,male,2,own,little,little,2697,radio/TV,good
276,26.0,female,2,own,little,little,2404,radio/TV,good
277,49.0,male,1,own,little,little,1262,furniture/equipment,good
278,32.0,female,2,own,little,little,4611,furniture/equipment,bad
279,29.0,male,3,rent,moderate,little,1901,radio/TV,good
280,23.0,male,2,rent,rich,little,3368,car,good
281,50.0,male,2,own,little,little,1574,furniture/equipment,good
282,49.0,male,1,own,little,rich,1445,radio/TV,good
283,63.0,male,2,own,little,little,1520,furniture/equipment,good
284,37.0,male,2,own,moderate,moderate,3878,car,good
285,35.0,female,1,own,little,little,10722,car,good
286,26.0,male,2,own,little,little,4788,car,good
287,31.0,male,3,free,moderate,moderate,7582,vacation/others,good
288,49.0,female,2,own,little,moderate,1092,radio/TV,good
289,48.0,male,2,own,little,little,1024,radio/TV,bad
290,26.0,male,2,own,little,little,1076,business,good
291,28.0,male,3,rent,little,moderate,9398,car,bad
292,44.0,female,3,free,little,little,6419,car,good
293,56.0,male,2,free,little,rich,4796,car,good
294,46.0,male,3,own,little,little,7629,business,good
295,26.0,female,2,own,little,moderate,9960,furniture/equipment,bad
296,20.0,female,2,rent,little,little,4675,car,good
297,45.0,male,1,own,little,little,1287,car,good
298,43.0,male,2,own,little,little,2515,furniture/equipment,good
299,32.0,male,2,own,rich,moderate,2745,furniture/equipment,good
300,54.0,female,0,own,little,little,672,car,good
301,42.0,female,2,own,little,moderate,3804,radio/TV,bad
302,37.0,male,1,own,little,rich,1344,car,bad
303,49.0,male,2,own,little,little,1038,car,good
304,44.0,male,2,free,quite rich,little,10127,car,bad
305,33.0,male,2,own,rich,little,1543,furniture/equipment,good
306,24.0,female,1,rent,little,little,4811,car,good
307,33.0,male,1,own,moderate,little,727,radio/TV,bad
308,24.0,female,2,own,little,moderate,1237,furniture/equipment,bad
309,22.0,male,1,rent,little,moderate,276,car,good
310,40.0,male,0,free,little,moderate,5381,vacation/others,good
311,25.0,male,2,own,moderate,little,5511,furniture/equipment,good
312,26.0,female,2,own,little,rich,3749,furniture/equipment,good
313,25.0,male,1,own,little,moderate,685,car,bad
314,29.0,male,1,own,little,rich,1494,car,good
315,31.0,male,2,own,little,little,2746,furniture/equipment,bad
316,38.0,male,1,own,little,little,708,furniture/equipment,good
317,48.0,female,1,own,little,moderate,4351,furniture/equipment,good
318,32.0,male,2,own,little,little,701,education,good
319,27.0,female,1,own,little,little,3643,furniture/equipment,good
320,28.0,male,3,own,little,moderate,4249,car,bad
321,32.0,male,2,own,little,little,1938,radio/TV,bad
322,34.0,male,3,free,little,little,2910,car,good
323,28.0,male,2,own,rich,little,2659,furniture/equipment,good
324,36.0,female,2,own,little,little,1028,car,good
325,39.0,male,1,own,little,little,3398,car,good
326,49.0,male,2,rent,little,little,5801,furniture/equipment,good
327,34.0,female,2,own,rich,little,1525,car,good
328,31.0,male,2,own,little,rich,4473,radio/TV,good
329,28.0,male,2,own,little,moderate,1068,radio/TV,good
330,75.0,male,3,free,little,little,6615,car,good
331,30.0,female,2,own,moderate,little,1864,education,bad
332,24.0,female,3,own,moderate,moderate,7408,car,bad
333,24.0,female,1,rent,moderate,little,11590,car,bad
334,23.0,male,2,rent,little,little,4110,furniture/equipment,bad
335,44.0,male,3,rent,little,little,3384,furniture/equipment,bad
336,23.0,female,1,own,little,moderate,2101,radio/TV,good
337,24.0,female,2,rent,little,little,1275,domestic appliances,bad
338,28.0,male,2,own,little,little,4169,furniture/equipment,good
339,31.0,male,1,own,little,moderate,1521,furniture/equipment,good
340,24.0,female,2,free,little,moderate,5743,education,good
341,26.0,female,1,rent,little,little,3599,furniture/equipment,good
342,25.0,male,2,rent,quite rich,moderate,3213,radio/TV,good
343,33.0,male,3,own,little,moderate,4439,business,good
344,37.0,male,1,own,little,rich,3949,car,good
345,43.0,female,1,own,little,little,1459,radio/TV,good
346,23.0,male,2,own,little,moderate,882,radio/TV,good
347,23.0,female,0,rent,quite rich,moderate,3758,radio/TV,good
348,34.0,male,1,own,moderate,little,1743,business,good
349,32.0,male,2,free,rich,moderate,1136,education,bad
350,23.0,female,2,rent,little,little,1236,domestic appliances,good
351,29.0,female,2,own,little,moderate,959,furniture/equipment,bad
352,38.0,male,3,own,little,little,3229,car,good
353,28.0,male,2,rent,little,little,6199,radio/TV,bad
354,46.0,male,2,free,quite rich,little,727,education,good
355,23.0,male,1,own,little,moderate,1246,car,bad
356,49.0,male,2,own,little,little,2331,radio/TV,good
357,26.0,male,3,own,little,little,4463,radio/TV,bad
358,28.0,male,2,own,little,little,776,radio/TV,good
359,23.0,female,2,rent,little,little,2406,furniture/equipment,bad
360,61.0,male,2,free,little,moderate,1239,education,good
361,37.0,male,3,own,little,rich,3399,radio/TV,good
362,36.0,female,2,own,little,rich,2247,car,good
363,21.0,male,2,rent,little,little,1766,furniture/equipment,good
364,25.0,male,0,own,little,little,2473,furniture/equipment,bad
365,36.0,male,2,own,little,little,1542,business,good
366,27.0,male,2,own,little,little,3850,car,good
367,22.0,female,2,rent,little,little,3650,furniture/equipment,good
368,42.0,male,2,own,little,little,3446,furniture/equipment,bad
369,40.0,female,2,rent,little,moderate,3001,furniture/equipment,good
370,36.0,male,2,own,little,little,3079,car,good
371,33.0,male,2,own,little,little,6070,radio/TV,good
372,23.0,female,2,rent,little,little,2146,furniture/equipment,good
373,63.0,male,3,free,little,little,13756,car,good
374,60.0,female,3,free,moderate,moderate,14782,vacation/others,bad
375,37.0,female,2,rent,little,little,7685,business,bad
376,34.0,male,2,own,little,little,2320,radio/TV,good
377,36.0,male,2,free,little,little,846,radio/TV,good
378,57.0,male,3,free,little,moderate,14318,car,bad
379,52.0,female,1,own,moderate,little,362,car,good
380,39.0,male,2,own,little,little,2212,furniture/equipment,good
381,38.0,female,3,free,little,moderate,12976,car,bad
382,25.0,female,2,rent,little,little,1283,car,good
383,26.0,male,2,own,little,rich,1330,car,good
384,26.0,male,1,own,moderate,little,4272,business,good
385,25.0,female,2,own,little,little,2238,radio/TV,good
386,21.0,female,2,rent,little,little,1126,radio/TV,good
387,40.0,male,3,own,little,moderate,7374,furniture/equipment,good
388,27.0,male,2,own,quite rich,moderate,2326,business,good
389,27.0,female,2,own,little,little,1449,business,good
390,30.0,male,3,own,little,little,1820,car,good
391,19.0,female,1,rent,rich,moderate,983,furniture/equipment,good
392,39.0,male,3,free,little,little,3249,car,good
393,31.0,female,2,own,little,little,1957,radio/TV,good
394,31.0,male,3,own,little,little,2406,furniture/equipment,good
395,32.0,male,2,rent,moderate,moderate,11760,education,good
396,55.0,female,3,free,little,little,2578,furniture/equipment,good
397,46.0,male,2,own,little,little,2348,furniture/equipment,good
398,46.0,male,2,rent,little,moderate,1223,car,bad
399,43.0,female,1,own,rich,little,1516,radio/TV,good
400,39.0,male,2,own,little,little,1473,radio/TV,good
401,28.0,male,2,own,little,moderate,1887,business,good
402,27.0,male,2,own,little,little,8648,business,bad
403,27.0,male,1,own,little,little,802,car,good
404,43.0,male,2,own,little,moderate,2899,car,good
405,22.0,male,2,own,little,moderate,2039,radio/TV,bad
406,43.0,male,2,own,little,little,2197,car,good
407,27.0,male,2,own,little,little,1053,radio/TV,good
408,26.0,male,3,own,quite rich,little,3235,radio/TV,good
409,28.0,male,2,own,quite rich,rich,939,car,bad
410,20.0,female,2,own,little,moderate,1967,radio/TV,good
411,35.0,male,3,own,little,little,7253,car,good
412,42.0,male,3,own,little,little,2292,business,bad
413,40.0,male,1,rent,quite rich,little,1597,car,good
414,35.0,female,2,own,little,little,1381,car,bad
415,35.0,male,2,own,little,little,5842,car,good
416,33.0,male,1,own,little,little,2579,car,bad
417,23.0,female,2,rent,little,little,8471,education,good
418,31.0,female,3,own,quite rich,little,2782,car,good
419,33.0,female,2,own,little,moderate,1042,car,bad
420,20.0,female,2,rent,rich,little,3186,car,good
421,30.0,male,2,own,little,moderate,2028,car,good
422,47.0,male,1,own,little,moderate,958,car,good
423,34.0,male,3,own,moderate,little,1591,furniture/equipment,good
424,25.0,female,2,own,little,moderate,2762,furniture/equipment,bad
425,21.0,male,2,rent,little,moderate,2779,car,good
426,29.0,male,2,own,little,little,2743,radio/TV,good
427,46.0,male,2,own,rich,little,1149,radio/TV,good
428,20.0,male,2,own,little,little,1313,furniture/equipment,good
429,55.0,female,0,free,little,little,1190,repairs,bad
430,74.0,male,1,own,little,little,3448,business,good
431,29.0,male,3,own,little,moderate,11328,vacation/others,bad
432,36.0,male,3,free,little,little,1872,furniture/equipment,good
433,33.0,male,2,own,little,little,2058,repairs,good
434,25.0,male,2,own,little,little,2136,furniture/equipment,good
435,25.0,male,2,own,little,moderate,1484,radio/TV,bad
436,23.0,male,1,rent,quite rich,little,660,repairs,good
437,37.0,female,2,own,rich,little,1287,car,good
438,65.0,male,0,own,little,little,3394,repairs,good
439,26.0,female,0,own,little,rich,609,business,bad
440,39.0,male,3,own,little,little,1884,car,good
441,30.0,female,2,own,little,little,1620,furniture/equipment,good
442,29.0,male,2,own,little,moderate,2629,vacation/others,good
443,41.0,male,1,own,little,little,719,education,bad
444,30.0,female,3,own,little,moderate,5096,furniture/equipment,bad
445,41.0,female,1,rent,little,little,1244,education,good
446,34.0,female,2,own,little,little,1842,car,bad
447,35.0,male,2,own,little,moderate,2576,radio/TV,good
448,55.0,female,3,own,little,rich,1424,furniture/equipment,good
449,61.0,male,2,own,rich,moderate,1512,repairs,bad
450,30.0,male,3,own,little,little,11054,car,good
451,29.0,female,2,own,little,little,518,radio/TV,good
452,34.0,male,2,own,little,little,2759,furniture/equipment,good
453,35.0,male,3,own,little,little,2670,car,good
454,31.0,male,2,own,little,little,4817,car,bad
455,29.0,female,3,own,little,little,2679,car,good
456,36.0,male,2,rent,little,little,3905,car,good
457,35.0,male,2,free,little,little,3386,car,bad
458,27.0,female,2,own,little,little,343,domestic appliances,good
459,32.0,male,2,own,little,little,4594,radio/TV,good
460,37.0,male,2,own,little,little,3620,furniture/equipment,good
461,36.0,male,2,own,little,little,1721,car,good
462,34.0,female,3,rent,little,moderate,3017,furniture/equipment,good
463,38.0,male,2,own,little,moderate,754,education,good
464,34.0,male,2,own,little,little,1950,business,good
465,63.0,male,2,own,little,little,2924,car,good
466,29.0,female,1,rent,little,little,1659,radio/TV,bad
467,32.0,male,2,own,little,little,7238,radio/TV,good
468,26.0,female,2,own,little,little,2764,business,good
469,35.0,male,1,own,little,little,4679,car,good
470,22.0,male,2,rent,moderate,moderate,3092,radio/TV,bad
471,23.0,female,2,own,little,little,448,education,bad
472,28.0,male,1,own,little,little,654,car,bad
473,36.0,male,3,own,little,little,1238,education,good
474,33.0,male,2,own,little,moderate,1245,radio/TV,bad
475,26.0,female,2,rent,little,little,3114,furniture/equipment,bad
476,24.0,male,2,own,quite rich,little,2569,car,good
477,25.0,male,2,own,little,rich,5152,radio/TV,good
478,39.0,male,1,own,moderate,moderate,1037,business,good
479,44.0,male,2,own,little,little,1478,furniture/equipment,good
480,23.0,female,1,own,little,moderate,3573,radio/TV,good
481,26.0,male,2,own,little,moderate,1201,car,good
482,57.0,female,2,rent,rich,little,3622,furniture/equipment,good
483,30.0,female,2,own,rich,little,960,furniture/equipment,good
484,44.0,male,2,own,quite rich,little,1163,car,good
485,47.0,male,3,own,little,moderate,1209,car,bad
486,52.0,male,2,own,little,little,3077,radio/TV,good
487,62.0,female,2,free,little,little,3757,car,good
488,35.0,male,1,rent,moderate,little,1418,car,good
489,26.0,male,2,rent,little,little,3518,car,good
490,26.0,male,2,own,little,little,1934,radio/TV,good
491,42.0,female,3,free,little,moderate,8318,business,bad
492,27.0,female,2,own,moderate,little,1237,radio/TV,good
493,38.0,male,2,own,little,moderate,368,radio/TV,good
494,39.0,male,1,rent,little,little,2122,car,good
495,20.0,male,2,own,little,little,2996,furniture/equipment,bad
496,29.0,male,3,rent,moderate,moderate,9034,furniture/equipment,bad
497,40.0,male,2,own,little,little,1585,furniture/equipment,good
498,32.0,male,1,own,little,moderate,1301,radio/TV,good
499,28.0,male,2,own,moderate,rich,1323,car,good
500,27.0,female,2,own,little,little,3123,car,bad
501,42.0,male,2,free,little,little,5493,car,good
502,49.0,male,2,own,moderate,rich,1126,radio/TV,good
503,38.0,male,2,own,moderate,moderate,1216,radio/TV,bad
504,24.0,female,2,rent,little,little,1207,car,bad
505,27.0,male,1,own,little,little,1309,car,bad
506,36.0,male,2,own,quite rich,rich,2360,car,good
507,34.0,male,3,own,moderate,moderate,6850,car,bad
508,28.0,male,2,own,little,little,1413,radio/TV,good
509,45.0,male,3,own,moderate,little,8588,car,good
510,26.0,male,2,own,little,little,759,car,bad
511,32.0,male,3,free,little,little,4686,car,good
512,26.0,male,2,rent,little,rich,2687,business,good
513,20.0,male,2,rent,little,moderate,585,radio/TV,good
514,54.0,male,2,own,little,little,2255,car,good
515,37.0,female,2,own,little,little,609,car,good
516,40.0,male,1,own,little,little,1361,car,good
517,23.0,female,2,rent,little,little,7127,furniture/equipment,bad
