Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
102,24,female,2,own,little,,932,6,radio/TV,good
742,41,male,2,own,,,3160,21,radio/TV,good
713,25,male,1,own,little,little,1138,9,radio/TV,good
638,34,female,2,own,little,,1493,12,radio/TV,good
746,23,female,2,rent,little,little,2511,15,car,good
620,27,male,2,own,little,moderate,3652,21,business,good
107,32,male,2,own,little,moderate,6078,12,car,good
511,32,male,3,free,little,,4686,36,car,good
549,35,male,2,free,,,8858,48,car,good
177,52,male,2,own,quite rich,little,338,6,radio/TV,good
791,41,male,3,own,,,6313,24,car,good
902,42,male,2,free,,,10477,36,car,good
413,40,male,1,rent,quite rich,,1597,10,car,good
816,62,male,2,own,quite rich,,1338,6,domestic appliances,good
725,41,female,1,own,rich,,250,6,car,good
889,40,male,2,rent,,,7824,28,car,good
672,42,male,3,own,little,,10366,60,car,good
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good
340,24,female,2,free,little,moderate,5743,24,education,good
872,26,male,2,own,moderate,little,1382,24,business,good
689,31,male,2,own,rich,little,3651,12,car,good
868,37,male,2,own,,,7409,36,business,good
825,30,male,2,own,little,little,1602,21,car,good
269,25,male,2,own,,,999,24,radio/TV,good
869,24,female,2,rent,little,little,652,12,furniture/equipment,good
562,29,female,2,own,little,rich,683,6,radio/TV,good
410,20,female,2,own,little,moderate,1967,24,radio/TV,good
737,35,male,1,own,moderate,little,4380,18,car,good
216,31,male,2,own,little,little,3104,18,business,good
699,40,male,3,rent,little,rich,1905,15,education,good
112,28,male,1,rent,little,moderate,6260,18,car,good
390,30,male,3,own,little,,1820,18,car,good
688,35,male,2,own,moderate,,2753,9,radio/TV,good
468,26,female,2,own,little,,2764,33,business,good
498,32,male,1,own,little,moderate,1301,18,radio/TV,good
581,49,male,1,own,little,moderate,3124,12,car,good
890,43,male,3,own,little,little,2442,27,business,good
5,35,male,1,free,,,9055,36,education,good
292,44,female,3,free,little,little,6419,24,car,good
986,33,male,2,own,little,rich,6289,42,business,good
350,23,female,2,rent,little,,1236,9,domestic appliances,good
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
324,36,female,2,own,little,,1028,18,car,good
400,39,male,2,own,little,,1473,18,radio/TV,good
261,55,female,2,own,little,little,1603,24,radio/TV,good
441,30,female,2,own,little,little,1620,12,furniture/equipment,good
356,49,male,2,own,,,2331,12,radio/TV,good
612,29,female,2,own,rich,little,3357,21,radio/TV,good
675,26,female,3,rent,little,,4530,30,radio/TV,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
974,33,female,2,own,little,,2831,30,radio/TV,good
860,27,male,2,own,rich,,5804,24,car,good
50,29,male,1,own,,moderate,2333,24,furniture/equipment,good
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
210,33,male,2,own,,,3074,9,radio/TV,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
776,37,male,2,own,little,,3535,36,car,good
749,33,male,2,own,little,,3029,15,car,good
322,34,male,3,free,little,little,2910,24,car,good
968,29,male,2,rent,,,7166,42,radio/TV,good
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good
160,36,male,2,own,moderate,,2872,24,radio/TV,good
876,36,male,3,free,little,little,1940,18,radio/TV,good
896,28,female,3,rent,little,little,2606,21,radio/TV,good
534,25,male,2,own,,,3105,24,radio/TV,good
259,57,female,1,own,moderate,,1154,11,radio/TV,good
873,24,female,2,own,,,874,15,domestic appliances,good
370,36,male,2,own,,,3079,36,car,good
871,46,male,2,own,little,rich,1343,6,car,good
810,26,male,2,own,little,moderate,907,8,business,good
411,35,male,3,own,little,,7253,33,car,good
310,40,male,0,free,,moderate,5381,48,vacation/others,good
797,22,female,1,rent,little,,1258,12,furniture/equipment,good
841,28,male,1,own,little,,2993,21,car,good
221,23,female,2,rent,,little,1200,12,education,good
270,32,male,2,own,,,2662,18,car,good
591,42,female,2,rent,,moderate,1965,24,car,good
404,43,male,2,own,,moderate,2899,18,car,good
818,43,male,3,own,little,little,15857,36,vacation/others,good
733,28,female,2,rent,rich,,2603,24,car,good
283,63,male,2,own,,,1520,15,furniture/equipment,good
420,20,female,2,rent,rich,,3186,15,car,good
525,30,male,2,own,little,moderate,7966,26,car,good
61,50,male,2,own,,moderate,1537,15,radio/TV,good
897,35,female,2,own,rich,,1592,12,furniture/equipment,good
982,28,female,3,own,moderate,rich,2923,21,car,good
200,52,male,2,own,quite rich,,936,9,education,good
423,34,male,3,own,moderate,,1591,21,furniture/equipment,good
821,24,male,2,own,little,rich,3016,12,radio/TV,good
662,50,male,2,own,little,,2241,21,furniture/equipment,good
280,23,male,2,rent,rich,,3368,15,car,good
392,39,male,3,free,little,little,3249,36,car,good
920,28,female,2,own,little,,1817,18,furniture/equipment,good
541,60,male,2,free,little,,2032,24,car,good
544,61,male,1,own,little,,1255,12,car,good
173,33,male,2,own,little,moderate,1414,8,radio/TV,good
179,65,male,2,own,little,little,571,21,car,good
681,37,male,2,free,,,2279,12,radio/TV,good
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good
215,39,female,1,own,,moderate,932,6,education,good
164,36,male,2,own,quite rich,,909,36,car,good
8,61,male,1,own,rich,,3059,12,radio/TV,good
866,27,female,2,own,little,little,2389,18,radio/TV,good
156,48,male,2,own,moderate,little,1288,9,repairs,good
909,33,female,1,own,,moderate,3195,9,car,good
325,39,male,1,own,little,little,3398,8,car,good
792,27,male,2,own,,,1221,6,furniture/equipment,good
916,32,male,2,own,moderate,,2848,10,car,good
560,49,male,2,free,,little,2964,24,car,good
753,25,female,2,own,little,,5771,30,radio/TV,good
957,37,male,1,own,little,moderate,1154,9,radio/TV,good
532,41,male,2,rent,little,,1503,12,car,good
765,40,male,1,own,little,moderate,1155,12,radio/TV,good
781,60,male,2,own,rich,,1940,24,car,good
930,24,male,1,own,little,little,1747,24,furniture/equipment,good
664,50,female,1,own,little,rich,1047,6,education,good
141,30,female,3,own,little,moderate,4795,36,radio/TV,good
139,44,female,1,rent,little,rich,1881,12,radio/TV,good
243,27,female,2,own,little,,1185,12,business,good
388,27,male,2,own,quite rich,moderate,2326,15,business,good
965,26,female,2,own,,moderate,1715,30,radio/TV,good
52,25,male,2,own,little,,1262,12,radio/TV,good
984,30,male,1,own,little,,2028,24,furniture/equipment,good
293,56,male,2,free,little,rich,4796,42,car,good
567,34,male,2,own,rich,,2578,24,radio/TV,good
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
477,25,male,2,own,little,rich,5152,24,radio/TV,good
715,63,male,2,own,,,7596,30,car,good
294,46,male,3,own,,,7629,48,business,good
824,35,male,3,own,little,,3780,18,furniture/equipment,good
478,39,male,1,own,moderate,moderate,1037,12,business,good
14,28,female,2,rent,little,little,1403,15,car,good
193,29,male,2,rent,little,,2108,6,radio/TV,good
96,61,female,2,own,,,2012,12,education,good
851,43,male,2,own,,,4042,24,car,good
932,30,male,2,own,little,,1224,9,car,good
397,46,male,2,own,little,little,2348,36,furniture/equipment,good
875,40,female,2,own,rich,moderate,1322,11,car,good
741,23,male,1,own,little,moderate,1048,10,radio/TV,good
547,32,male,2,own,little,,1552,24,radio/TV,good
328,31,male,2,own,little,rich,4473,36,radio/TV,good
256,35,male,1,own,little,,2684,24,radio/TV,good
515,37,female,2,own,little,little,609,6,car,good
214,51,male,2,own,,,3342,36,radio/TV,good
520,44,male,2,free,little,,5507,24,repairs,good
255,27,male,1,own,,moderate,7418,60,radio/TV,good
272,36,male,3,free,,moderate,12169,48,car,good
679,26,female,2,own,little,,1453,18,radio/TV,good
886,34,male,2,own,,moderate,2825,24,business,good
487,62,female,2,free,little,,3757,24,car,good
358,28,male,2,own,little,,776,12,radio/TV,good
395,32,male,2,rent,moderate,moderate,11760,39,education,good
635,47,male,2,own,little,,1393,12,education,good
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
464,34,male,2,own,little,,1950,18,business,good
279,29,male,3,rent,moderate,,1901,24,radio/TV,good
704,32,female,2,own,little,moderate,2528,27,business,good
78,39,male,1,own,,,9436,54,car,good
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
910,34,female,2,own,little,,4454,36,radio/TV,good
111,23,female,2,rent,little,rich,392,15,education,good
467,32,male,2,own,,,7238,48,radio/TV,good
744,30,male,3,own,,little,14179,39,furniture/equipment,good
455,29,female,3,own,little,,2679,24,car,good
709,37,male,1,own,little,moderate,2118,9,radio/TV,good
372,23,female,2,rent,little,,2146,10,furniture/equipment,good
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,good
882,36,male,2,own,,moderate,2181,30,car,good
133,47,male,2,free,little,,1984,18,furniture/equipment,good
422,47,male,1,own,little,moderate,958,12,car,good
345,43,female,1,own,little,,1459,15,radio/TV,good
33,57,male,1,rent,,,1264,12,business,good
314,29,male,1,own,,rich,1494,4,car,good
306,24,female,1,rent,,,4811,30,car,good
863,32,male,1,own,rich,,4526,27,furniture/equipment,good
415,35,male,2,own,little,,5842,36,car,good
290,26,male,2,own,little,,1076,12,business,good
110,31,male,2,own,moderate,moderate,1449,6,business,good
75,66,male,3,free,little,little,1526,12,car,good
636,28,female,2,own,quite rich,,1376,24,radio/TV,good
217,23,male,2,own,little,rich,3913,36,radio/TV,good
912,25,female,2,own,,moderate,2991,30,radio/TV,good
660,23,male,2,rent,little,rich,1297,12,radio/TV,good
380,39,male,2,own,,little,2212,20,furniture/equipment,good
586,36,male,2,rent,little,little,2799,9,car,good
90,56,male,2,own,little,,618,12,radio/TV,good
158,38,male,2,own,moderate,moderate,3512,24,car,good
779,67,female,2,own,little,moderate,3872,18,repairs,good
264,32,male,1,own,little,,1231,10,car,good
735,29,female,0,own,,moderate,3990,36,domestic appliances,good
447,35,male,2,own,little,moderate,2576,7,radio/TV,good
839,46,male,2,own,little,,2611,24,radio/TV,good
451,29,female,2,own,little,,518,6,radio/TV,good
678,64,male,1,rent,little,little,2384,24,radio/TV,good
149,46,male,2,own,rich,,1582,18,radio/TV,good
526,31,female,2,own,moderate,,1532,15,education,good
66,29,female,2,own,little,,2171,12,radio/TV,good
245,25,male,2,own,little,,1258,24,business,good
807,65,male,2,own,,,930,12,radio/TV,good
546,37,female,2,own,little,,2022,24,car,good
697,38,female,0,own,little,,926,12,car,good
971,43,male,1,own,little,,7393,24,car,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
104,26,male,2,rent,,,2445,12,car,good
669,47,male,2,own,little,rich,3017,30,radio/TV,good
762,24,male,1,own,little,little,2214,12,radio/TV,good
135,38,female,2,own,,,1240,12,radio/TV,good
646,32,male,2,own,little,little,4583,30,furniture/equipment,good
574,27,male,1,own,little,moderate,1082,9,radio/TV,good
77,51,male,2,own,little,moderate,4771,11,radio/TV,good
798,54,male,2,own,,,717,24,car,good
852,35,male,2,free,little,,1471,15,radio/TV,good
901,44,male,2,own,,,3485,20,car,good
529,41,male,1,own,little,little,662,6,car,good
109,35,male,2,own,quite rich,moderate,1410,14,business,good
157,45,male,1,own,little,little,339,12,education,good
513,20,male,2,rent,little,moderate,585,12,radio/TV,good
254,24,male,2,own,,moderate,2030,9,furniture/equipment,good
748,26,male,2,own,,,5248,21,car,good
945,30,female,2,own,quite rich,moderate,8358,48,car,good
758,31,male,2,own,little,,1393,24,car,good
246,52,male,2,own,little,,717,12,radio/TV,good
363,21,male,2,rent,little,,1766,6,furniture/equipment,good
282,49,male,1,own,,rich,1445,18,radio/TV,good
879,36,male,2,own,,,6742,30,radio/TV,good
453,35,male,3,own,little,,2670,24,car,good
608,33,male,2,own,little,,2051,18,radio/TV,good
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
458,27,female,2,own,little,little,343,6,domestic appliances,good
201,27,male,1,own,little,little,1168,12,car,good
84,52,male,1,own,little,little,2315,10,radio/TV,good
837,23,female,1,rent,little,,601,4,furniture/equipment,good
401,28,male,2,own,,moderate,1887,18,business,good
490,26,male,2,own,little,,1934,12,radio/TV,good
46,39,male,2,own,quite rich,,2299,36,radio/TV,good
590,58,female,1,own,little,little,385,12,radio/TV,good
0,67,male,2,own,,little,1169,6,radio/TV,good
277,49,male,1,own,,little,1262,12,furniture/equipment,good
888,34,male,3,own,little,,6614,36,car,good
465,63,male,2,own,little,little,2924,24,car,good
764,27,male,2,own,moderate,,2463,24,car,good
373,63,male,3,free,,,13756,60,car,good
445,41,female,1,rent,,,1244,9,education,good
258,23,female,2,own,moderate,,3812,15,car,good
655,22,male,2,free,little,little,3973,14,car,good
996,40,male,3,own,little,little,3857,30,car,good
352,38,male,3,own,,,3229,18,car,good
943,42,male,1,own,little,,1455,4,car,good
815,54,female,2,rent,little,moderate,7432,36,car,good
575,24,female,2,own,little,,2788,15,furniture/equipment,good
297,45,male,1,own,,,1287,10,car,good
480,23,female,1,own,little,moderate,3573,12,radio/TV,good
36,31,male,2,free,little,,6110,48,education,good
750,49,female,2,own,little,little,428,6,furniture/equipment,good
671,31,male,2,own,moderate,,5742,36,business,good
198,36,male,2,free,,moderate,2760,24,car,good
428,20,male,2,own,little,,1313,9,furniture/equipment,good
694,28,male,2,own,little,,2284,24,radio/TV,good
39,-24,male,2,own,little,moderate,458,9,radio/TV,good
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
376,34,male,2,own,little,,2320,18,radio/TV,good
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
4,53,male,2,free,little,little,4870,24,car,bad
9,28,male,3,own,little,moderate,5234,30,car,bad
10,25,female,2,rent,little,moderate,1295,12,car,bad
11,24,female,2,rent,little,little,4308,48,business,bad
13,60,male,1,own,little,little,1199,24,car,bad
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad
18,44,female,3,free,little,moderate,12579,24,car,bad
29,63,male,2,own,little,little,6836,60,business,bad
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
44,58,female,1,free,little,little,6143,48,car,bad
54,57,male,2,free,little,moderate,2225,36,car,bad
56,52,male,3,own,,moderate,6468,12,radio/TV,bad
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
62,61,male,3,free,little,moderate,1953,36,business,bad
63,25,male,2,own,little,moderate,14421,48,business,bad
68,37,male,2,free,little,,1819,36,education,bad
74,40,male,3,own,,little,1977,36,education,bad
76,34,male,2,own,little,little,3965,42,radio/TV,bad
80,44,female,2,own,,,5943,24,radio/TV,bad
87,47,male,2,free,moderate,moderate,12612,36,education,bad
89,-28,male,2,own,little,little,1108,12,repairs,bad
92,33,female,1,own,,,797,12,radio/TV,bad
95,58,male,2,rent,little,moderate,15945,54,business,bad
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
106,39,male,3,own,little,,6458,18,car,bad
113,25,female,2,own,little,,7855,36,car,bad
116,30,female,3,own,,little,7174,42,radio/TV,bad
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
120,25,female,2,own,little,little,1835,21,radio/TV,bad
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad
127,30,male,2,own,little,moderate,639,12,repairs,bad
129,29,female,2,own,little,little,3499,12,car,bad
131,29,male,2,own,little,little,6887,36,education,bad
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad
169,31,male,2,own,little,moderate,1935,24,business,bad
170,33,male,2,rent,little,little,950,15,car,bad
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
174,26,male,2,own,little,little,3414,21,education,bad
175,53,female,3,own,,,7485,30,car,bad
180,28,male,2,own,little,,9572,36,business,bad
181,30,male,3,own,little,moderate,4455,36,business,bad
182,40,male,1,own,,little,1647,21,car,bad
184,36,male,2,own,little,moderate,884,18,car,bad
186,74,female,3,free,little,moderate,5129,9,car,bad
188,20,male,2,own,moderate,little,674,12,radio/TV,bad
190,54,male,3,own,rich,,4591,24,business,bad
191,34,male,1,free,moderate,moderate,3844,48,business,bad
192,36,male,2,own,little,moderate,3915,27,business,bad
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
195,34,female,3,own,little,moderate,1501,9,education,bad
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
203,21,male,2,rent,little,little,902,12,education,bad
212,50,male,2,own,little,little,5293,27,business,bad
213,66,male,3,own,little,rich,1908,30,business,bad
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
228,22,male,2,own,little,,1478,9,radio/TV,bad
230,26,male,2,own,little,rich,4210,36,radio/TV,bad
235,30,male,3,own,little,little,1823,24,radio/TV,bad
236,23,male,0,own,,moderate,14555,6,car,bad
237,61,male,1,rent,moderate,moderate,2767,21,business,bad
240,29,female,2,own,,little,915,24,car,bad
242,24,male,2,free,little,little,4605,48,car,bad
249,22,female,2,rent,little,,433,18,radio/TV,bad
252,24,female,2,own,little,moderate,2150,30,car,bad
257,29,male,2,free,little,little,2149,12,radio/TV,bad
265,37,male,2,own,little,moderate,802,15,radio/TV,bad
268,45,male,3,own,little,little,8978,14,car,bad
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad
274,34,male,1,own,little,little,11998,30,repairs,bad
278,32,female,2,own,little,,4611,6,furniture/equipment,bad
289,48,male,2,own,little,little,1024,24,radio/TV,bad
291,28,male,3,rent,little,moderate,9398,36,car,bad
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad
302,37,male,1,own,,rich,1344,24,car,bad
304,44,male,2,free,quite rich,,10127,48,car,bad
307,33,male,1,own,moderate,little,727,12,radio/TV,bad
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
313,25,male,1,own,little,moderate,685,12,car,bad
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad
320,28,male,3,own,little,moderate,4249,30,car,bad
321,32,male,2,own,little,little,1938,24,radio/TV,bad
331,30,female,2,own,moderate,,1864,18,education,bad
332,24,female,3,own,moderate,moderate,7408,60,car,bad
333,24,female,1,rent,moderate,,11590,48,car,bad
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
337,24,female,2,rent,,little,1275,15,domestic appliances,bad
349,32,male,2,free,rich,moderate,1136,9,education,bad
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
353,28,male,2,rent,little,little,6199,12,radio/TV,bad
355,23,male,1,own,little,moderate,1246,24,car,bad
357,26,male,3,own,little,,4463,36,radio/TV,bad
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
375,37,female,2,rent,little,little,7685,48,business,bad
378,57,male,3,free,little,moderate,14318,36,car,bad
381,38,female,3,free,little,moderate,12976,18,car,bad
398,46,male,2,rent,little,moderate,1223,12,car,bad
402,27,male,2,own,little,,8648,24,business,bad
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad
409,28,male,2,own,quite rich,rich,939,12,car,bad
412,42,male,3,own,little,,2292,12,business,bad
414,35,female,2,own,,little,1381,24,car,bad
416,33,male,1,own,little,little,2579,12,car,bad
419,33,female,2,own,,moderate,1042,18,car,bad
424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
429,55,female,0,free,little,little,1190,18,repairs,bad
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad
435,25,male,2,own,,moderate,1484,12,radio/TV,bad
439,26,female,0,own,little,rich,609,12,business,bad
443,41,male,1,own,little,,719,12,education,bad
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
446,34,female,2,own,little,little,1842,36,car,bad
449,61,male,2,own,rich,moderate,1512,15,repairs,bad
454,31,male,2,own,little,little,4817,24,car,bad
457,35,male,2,free,little,little,3386,12,car,bad
466,29,female,1,rent,little,little,1659,24,radio/TV,bad
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
471,23,female,2,own,little,little,448,6,education,bad
472,28,male,1,own,little,little,654,9,car,bad
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
485,47,male,3,own,little,moderate,1209,6,car,bad
491,42,female,3,free,little,moderate,8318,27,business,bad
495,20,male,2,own,,little,2996,24,furniture/equipment,bad
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
500,27,female,2,own,little,little,3123,24,car,bad
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
504,24,female,2,rent,little,little,1207,24,car,bad
505,27,male,1,own,,,1309,10,car,bad
507,34,male,3,own,moderate,moderate,6850,15,car,bad
510,26,male,2,own,little,little,759,12,car,bad
517,23,female,2,rent,little,,7127,36,furniture/equipment,bad
521,24,female,2,own,little,little,3190,18,radio/TV,bad
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
528,31,male,2,rent,little,little,2302,36,radio/TV,bad
531,28,female,2,rent,moderate,moderate,2631,15,car,bad
535,33,male,2,rent,little,rich,2319,21,education,bad
538,42,male,3,free,little,little,7763,48,car,bad
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
542,31,male,2,own,,little,6350,30,furniture/equipment,bad
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
545,43,male,2,free,little,little,1333,24,car,bad
548,24,female,1,own,little,little,626,12,radio/TV,bad
552,34,male,2,own,little,little,6999,48,radio/TV,bad
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad
556,28,female,2,own,moderate,moderate,2278,18,car,bad
557,29,female,2,own,,,5003,21,car,bad
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
561,24,male,1,rent,little,little,1546,24,radio/TV,bad
563,37,male,2,free,,moderate,12389,36,car,bad
566,36,male,2,own,little,little,1372,12,car,bad
569,31,female,2,own,little,little,6758,48,radio/TV,bad
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
578,27,male,2,own,little,moderate,2820,36,car,bad
580,30,male,2,own,little,moderate,1056,18,car,bad
583,33,male,1,rent,little,moderate,2384,36,repairs,bad
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
588,47,male,1,own,little,little,1217,18,domestic appliances,bad
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad
593,20,female,1,rent,little,moderate,2718,24,car,bad
594,40,male,3,own,,little,1358,24,vacation/others,bad
595,32,female,1,own,moderate,moderate,931,6,car,bad
596,23,female,2,rent,little,little,1442,24,car,bad
597,36,male,1,own,little,moderate,4241,24,business,bad
598,31,male,2,own,little,,2775,18,car,bad
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
602,34,female,1,free,little,moderate,1837,24,education,bad
603,28,female,3,own,little,,3349,36,furniture/equipment,bad
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad
611,48,female,1,free,moderate,rich,1240,10,car,bad
614,22,female,2,own,little,,1808,18,furniture/equipment,bad
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
621,32,male,2,own,little,,1530,18,car,bad
622,38,male,2,own,,,3914,48,business,bad
624,65,male,2,free,little,little,2600,18,radio/TV,bad
627,29,male,2,own,moderate,moderate,1437,9,car,bad
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad
633,19,female,2,rent,little,,1980,9,furniture/equipment,bad
634,25,female,1,own,little,moderate,1355,24,car,bad
639,26,male,2,own,little,little,4370,42,radio/TV,bad
640,27,female,0,own,little,little,750,18,education,bad
642,40,male,3,own,moderate,,4623,15,education,bad
645,27,male,2,rent,,,7980,36,business,bad
647,26,female,2,own,quite rich,,1386,12,car,bad
648,38,male,2,free,little,rich,947,24,car,bad
649,40,male,1,rent,little,little,684,12,education,bad
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
652,45,male,2,own,little,little,2303,24,car,bad
653,42,male,3,own,moderate,moderate,8086,36,car,bad
656,41,male,1,own,little,moderate,888,12,car,bad
661,23,male,2,own,,little,900,12,car,bad
668,43,male,2,rent,little,little,4843,12,car,bad
674,41,male,1,own,quite rich,,2580,21,business,bad
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad
701,46,male,2,free,little,little,6331,48,car,bad
706,24,male,2,own,moderate,moderate,6560,48,car,bad
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
711,35,female,2,free,little,little,1198,6,education,bad
714,27,male,3,own,little,moderate,14027,60,car,bad
720,34,male,3,own,little,rich,1337,9,radio/TV,bad
721,24,female,2,rent,rich,moderate,433,6,education,bad
722,24,female,1,own,little,little,1228,12,car,bad
724,21,female,2,rent,little,,2570,27,car,bad
727,25,female,2,rent,little,little,1882,18,radio/TV,bad
728,59,female,2,rent,little,moderate,6416,48,business,bad
731,21,male,1,rent,little,little,1987,24,radio/TV,bad
736,23,female,3,rent,little,moderate,11560,24,car,bad
739,26,female,1,rent,moderate,moderate,4280,30,business,bad
747,37,female,1,own,little,little,1274,12,car,bad
751,23,female,1,own,little,little,976,18,car,bad
754,55,male,2,free,rich,,1555,12,repairs,bad
755,32,female,2,rent,,little,1285,24,car,bad
757,39,male,2,free,,rich,1271,15,radio/TV,bad
